nom_estab,items,prediction
EL MAGO RESTAURANTE Y BANQUETES,"['ACEITE', 'PAPA', 'ACEITUNA', 'AJO', 'SALSA', 'DESHEBRADA']",['LENGUA']
RESTAURANTE TIO LALO,"['PHILADELPHIA', 'DIEZMILLO', 'SAZONADOR', 'DULCE']",['BACON']
HOTEL PALACIO,"['SALSA', 'CUBOS', 'LOMO', 'QUESO', 'DESHEBRADA']",['LENGUA']
MINIRESTAURANTE EL CHINO,"['JAMON', 'BACON', 'BONELESS', 'ENDULZANTE', 'PAPA']",['DIEZMILLO']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['DIEZMILLO', 'MERMELADA', 'FILETE', 'COWBOY']",['BACON']
RESTAURANTE ARIECCHINO,"['CREMA', 'TOCINO', 'CUBOS', 'CHICHARRON', 'CORTADILLO', 'T-BONE', 'YOGHURT']","['PANELA', 'FLAUTAS']"
HOTEL PALACIO,"['BACON', 'ACEITE', 'CHILE', 'NUGGET', 'SAZONADOR']","['DIEZMILLO', 'MOLIDA']"
RESTAURANTE FLOR DE TOKIO,"['CORTADILLO', 'CAFE', 'MENUDO', 'PASTEL', 'MIEL']",['PANELA']
RESTAURANTE LOS RODRIGUEZ,"['VEAL', 'GOUDA', 'SALMON', 'ARRACHERA', 'PECHUGA', 'MARGARINA']","['COFFEE', 'LECHE']"
RESTAURANTE VERDENIA,"['CHILE', 'HUESO', 'QUESO']",['MOLIDA']
HOTEL MISION,"['FLAUTAS', 'LECHE', 'FILETE', 'PANELA', 'PAPA']","['TOCINO', 'ARRACHERA', 'CORTADILLO']"
HOTEL OASIS,"['JALAPENOS', 'ROAST', 'LOMO', 'DIEZMILLO', 'FLAUTAS', 'PHILADELPHIA', 'MILANESA']","['TOCINO', 'BACON']"
HOTEL HOLIDAY IN EXPRESS,"['MANCHEGO', 'MACHACA', 'ARRACHERA', 'COWBOY']",['LECHE']
RESTAURANTE FLOR DE TOKIO,"['JUGO', 'ARRACHERA', 'CATSUP']",['LECHE']
RESTAURANTE BUCHAKAS,"['TOMATE', 'SALAMI', 'AJO', 'DIEZMILLO', 'PEPPERONI', 'HUEVO', 'PAPRIKA']",['BACON']
CHE PEBETA RESTAURANTE ARGENTINO,"['CHICHARRON', 'LENGUA', 'LOMO', 'SHOULDER']",['SALSA']
MINIRESTAURANTE EL CHINO,"['POLLO', 'FLAUTAS', 'PAVO', 'WHIP', 'SALMON', 'SAZONADOR']","['TOCINO', 'COFFEE']"
LA RONDA RESTAURANTE,"['ELOTE', 'LECHE', 'WHIP', 'CARNE', 'MOSTAZA', 'PANELA']","['ARRACHERA', 'CORTADILLO']"
RESTAURANTE JOSEPHINOS,"['ATUN', 'SALSA', 'SALAMI', 'LOMO', 'MOLLEJA']",['LENGUA']
ESPAÑOLA RESTAURANTE,"['ADOBADA', 'PAVO', 'ACEITE', 'PASTEL', 'CAFE', 'SALSA']",['LENGUA']
RESTAURANTE FLOR DE TOKIO,"['TOCINO', 'MENUDO', 'COFFEE', 'SALCHICHA', 'SURIMI', 'CHAMPIÑONES']","['SALMON', 'FLAUTAS']"
HOTEL MISION,"['SALMON', 'PORTERHOUSE', 'ACEITE', 'WHIP', 'BACON', 'PANELA', 'GOUDA']","['DIEZMILLO', 'COFFEE', 'CORTADILLO']"
RESTAURANTE JOSEPHINOS,"['PANELA', 'COSTILLA', 'MENUDO', 'ARRACHERA', 'PULPA']","['CORTADILLO', 'LECHE']"
HOTEL EL REGIO,"['SALMON', 'CORTADILLO', 'CHEESECAKE', 'PEPPERONI', 'CHORIZO']","['PANELA', 'COFFEE']"
CALLE 7 RESTAURANTE,"['COSTILLA', 'TOCINO', 'HUESO', 'PANELA', 'FLAUTAS', 'CATSUP']",['CORTADILLO']
HOTEL OASIS,"['PIZZA', 'ATUN', 'LECHE', 'CORTADILLO', 'CARNITAS/PIERNA']","['PANELA', 'ARRACHERA']"
RESTAURANTE CHAYITO,"['TOMAHAWK', 'ARRACHERA', 'JALAPENOS', 'JAMON', 'COCOA', 'CHORIZO']",['LECHE']
RESTAURANTE LA POSADA,"['LOMO', 'GALLETA', 'GOUDA', 'CHULETA', 'SALSA']",['LENGUA']
RESTAURANTE IDOLOS DEL RIN,"['MOLIDA', 'COWBOY', 'COCOA', 'ACEITUNA']",['CHILE']
RESTAURANTE: I LIKE PIZZA,"['PAPA', 'BISTEC', 'MOSTAZA', 'MOLIDA', 'SALAMI']",['CHILE']
RESTAURANTE LA AZULITA,"['BACON', 'MANTEQUILLA', 'MIEL', 'PAVO', 'MACHACA', 'ROAST']",['DIEZMILLO']
RESTAURANTE BON DIA,"['CHILE', 'PECHUGA']",['MOLIDA']
HOTEL REGIS,"['LOMO', 'YOGHURT', 'BONELESS', 'ELOTE', 'MOLIDA', 'MANTEQUILLA', 'POLLO']",['CHILE']
EL MAGO RESTAURANTE Y BANQUETES,"['MEDALLON', 'CORTADILLO', 'TOMATE', 'ADOBADA', 'FLAUTAS']","['TOCINO', 'PANELA']"
EL MAGO RESTAURANTE Y BANQUETES,"['WHIP', 'PAVO', 'FLAN', 'MOSTAZA', 'CORTADILLO', 'PAPA', 'SALMON']","['PANELA', 'COFFEE']"
RESTAURANTE EL GITANO,"['ACEITE', 'ENDULZANTE', 'MOLLEJA', 'FAJITA', 'NUGGET', 'BRISKET', 'LENGUA']",['SALSA']
CHE PEBETA RESTAURANTE ARGENTINO,"['CORTADILLO', 'YEMA', 'PULPO', 'MANTEQUILLA']",['PANELA']
RESTAURANTE DE MARISCOS SIN NOMBRE,"['PULPO', 'BACON', 'LOMO']",['DIEZMILLO']
RESTAURANTE FLOR DE TOKIO,"['CORTADILLO', 'CAMARON', 'CHAMPIÑONES', 'RIBEYE', 'ARRACHERA', 'LECHE']",['PANELA']
RESTAURANTE BON DIA,"['MARGARINA', 'MOLIDA', 'PASTA', 'CARNITAS/PIERNA', 'YOGHURT', 'CREMA']",['CHILE']
RESTAURANTE CHAYITO,"['CHEESECAKE', 'COFFEE', 'DESHEBRADA', 'FLAN', 'MOSTAZA', 'MORTADELA', 'CARNITAS/PIERNA']",['SALMON']
MINIRESTAURANTE EL CHINO,"['RIBEYE', 'COFFEE', 'CATSUP', 'HUEVO', 'PEPPERONI']",['SALMON']
RESTAURANTE BOATO,"['ARRACHERA', 'TOMATE', 'MOLIDA', 'PHILADELPHIA', 'SALMON']","['CHILE', 'COFFEE', 'LECHE']"
MINIRESTAURANTE EL CHINO,"['COWBOY', 'CATSUP', 'CHAMPIÑONES', 'TOCINO', 'CHORIZO']",['FLAUTAS']
HOTEL POSADA,"['DULCE', 'COFFEE', 'BONELESS', 'QUESO', 'BACON', 'COCOA', 'HAMBURGUESA']","['DIEZMILLO', 'SALMON']"
HOTEL PALACIO,"['ADOBADA', 'SALMON', 'COCOA', 'PURE', 'MENUDO']",['COFFEE']
RESTAURANTE IDOLOS DEL RIN,"['PIMIENTA', 'LECHE']",['ARRACHERA']
RESTAURANTE DE MARISCOS EL ROJO,"['QUESO', 'CHILE', 'MORTADELA', 'DULCE']",['MOLIDA']
RESTAURANTE JOSEPHINOS,"['PORTERHOUSE', 'PANELA', 'PHILADELPHIA', 'SAZONADOR', 'CHORIZO']",['CORTADILLO']
HOTEL HOLIDAY IN EXPRESS,"['ELOTE', 'DIEZMILLO', 'PASTEL', 'ROAST', 'SHOULDER', 'PULPA']",['BACON']
NORTEÑO RESTAURANTE,"['YOGHURT', 'PURE', 'TOCINO', 'JUGO', 'LOMO', 'COWBOY']",['FLAUTAS']
ANTIQUE HOTEL BOUTIQUE SANTA LUCIA,"['SALSA', 'JAMON', 'PECHUGA', 'DULCE', 'ESPALDILLA', 'PAVO']",['LENGUA']
RESTAURANTE LAS TRES VILLAS,"['LOMO', 'RIBEYE', 'ATUN', 'CORTADILLO', 'TOMATE']",['PANELA']
RESTAURANTE DE MARISCOS EL ROJO,"['VEAL', 'SAZONADOR', 'ADOBADA', 'CHICHARRON', 'SALMON']",['COFFEE']
RESTAURANTE FLOR DE TOKIO,"['CARNITAS/PIERNA', 'BACON', 'SALCHICHA', 'ELOTE']",['DIEZMILLO']
HOTEL EL REGIO,"['SALSA', 'CUBOS', 'BRISKET', 'CARNITAS/PIERNA', 'ADOBADA']",['LENGUA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['CHICHARRON', 'PECHUGA', 'RIBEYE', 'MOLIDA', 'SALSA']","['CHILE', 'LENGUA']"
RESTAURANTE  LA  FUNDACION,"['BACON', 'MILANESA', 'GOUDA', 'SALSA']","['DIEZMILLO', 'LENGUA']"
RESTAURANTE LA POSADA,"['ADEREZO', 'FLAN', 'JALAPENOS', 'MOLLEJA', 'ESPALDILLA', 'PULPO', 'PANELA']",['CORTADILLO']
RESTAURANTE LOS RODRIGUEZ,"['COSTILLA', 'ROAST', 'JUGO', 'FLAUTAS', 'CHEESECAKE', 'ESPALDILLA', 'MANTEQUILLA']",['TOCINO']
RESTAURANTE EL BUEN PALADAR,"['CARNITAS/PIERNA', 'PANELA', 'PIERNA', 'MANTEQUILLA', 'CACHETE', 'MARGARINA']",['CORTADILLO']
VITANTI RESTAURANTE,"['MOLIDA', 'FLAUTAS', 'ATUN', 'CHAMPIÑONES', 'BISTEC', 'PEPPERONI', 'ALITA']","['TOCINO', 'CHILE']"
HOTEL HOLIDAY IN EXPRESS,"['AJO', 'FAJITA', 'PULPA', 'LENGUA', 'MORTADELA', 'YOGHURT']",['SALSA']
RESTAURANTE Y TAQUERIA MI GENERAL,"['T-BONE', 'COFFEE', 'ACEITUNA', 'CHULETA', 'ALITA']",['SALMON']
RESTAURANTE VERDENIA,"['NUGGET', 'CORTADILLO', 'MAYONESA', 'CARNE', 'MACHACA', 'COCOA', 'MEDALLON']",['PANELA']
HOTEL EL REGIO,"['DIEZMILLO', 'MAYONESA', 'ARRACHERA', 'MERMELADA', 'CACHETE', 'FLAUTAS']","['TOCINO', 'BACON', 'LECHE']"
RESTAURANTE BONDIA,"['JUGO', 'PANELA', 'QUESO', 'PECHUGA', 'MORTADELA', 'CATSUP']",['CORTADILLO']
RESTAURANTE LA POSADA,"['ADOBADA', 'TOCINO', 'WHIP', 'DESHEBRADA', 'JALAPENOS']",['FLAUTAS']
LA TORRADA RESTAURANTE,['MOLIDA'],['CHILE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MENUDO', 'GOUDA', 'SALCHICHA', 'CHILE']",['MOLIDA']
RESTAURANTE ARIECCHINO,"['MANTEQUILLA', 'LENGUA', 'PASTA', 'FILETE', 'SALCHICHA']",['SALSA']
CHE PEBETA RESTAURANTE ARGENTINO,"['DIEZMILLO', 'PIERNA', 'MACHACA', 'LOMO', 'T-BONE', 'PHILADELPHIA']",['BACON']
HOTEL HOLIDAY IN EXPRESS,"['PIERNA', 'TOMAHAWK', 'LECHE', 'MAYONESA', 'MEDALLON', 'HUESO']",['ARRACHERA']
EL MAGO RESTAURANTE Y BANQUETES,"['MERMELADA', 'FAJITA', 'CHILE', 'PIMIENTA', 'COWBOY']",['MOLIDA']
ANTIQUE HOTEL BOUTIQUE SANTA LUCIA,"['BACON', 'PULPO', 'ARRACHERA', 'VEAL', 'PIZZA', 'WHIP', 'COWBOY']","['DIEZMILLO', 'LECHE']"
RESTAURANTE VERDENIA,"['LOMO', 'PASTEL', 'ROAST', 'LENGUA', 'PULPO', 'CORTADILLO']","['SALSA', 'PANELA']"
RESTAURANTE LA AZULITA,"['FILETE', 'LECHE', 'PHILADELPHIA', 'PAPRIKA', 'POLLO', 'JUGO']",['ARRACHERA']
RESTAURANTE BUCHAKAS,"['QUESO', 'PANELA', 'DESHEBRADA', 'BACON']","['DIEZMILLO', 'CORTADILLO']"
LA TORRADA RESTAURANTE,"['MAYONESA', 'COCOA', 'CAMARON', 'ARRACHERA', 'ELOTE', 'DIEZMILLO', 'HUEVO']","['BACON', 'LECHE']"
RESTAURANTE VERDENIA,"['LECHE', 'TOMATE', 'MIEL', 'FLAN', 'PAVO', 'FILETE']",['ARRACHERA']
HOTEL OASIS,"['MIEL', 'PHILADELPHIA', 'CARNITAS/PIERNA', 'PANELA', 'BACON', 'CACHETE']","['DIEZMILLO', 'CORTADILLO']"
RESTAURANTE ARIECCHINO,"['BONELESS', 'MAYONESA', 'SALSA', 'JALAPENOS']",['LENGUA']
RESTAURANTE EL BUEN PALADAR,"['T-BONE', 'BACON', 'CAMARON', 'ELOTE', 'COFFEE', 'LECHE']","['DIEZMILLO', 'ARRACHERA', 'SALMON']"
HOTEL HOLIDAY IN EXPRESS,['CHILE'],['MOLIDA']
HOTEL REGIS,"['GOUDA', 'PASTA', 'ATUN', 'CATSUP', 'ARRACHERA']",['LECHE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['CHILE', 'PULPO', 'PORTERHOUSE', 'CHICHARRON']",['MOLIDA']
RESTAURANTE TIO LALO,"['ACEITUNA', 'TOCINO', 'GALLETA', 'RIBEYE', 'PULPA', 'MERMELADA', 'FLAN']",['FLAUTAS']
RESTAURANTE LA POSADA,"['CHORIZO', 'ALITA', 'TOMAHAWK', 'ROAST', 'DIEZMILLO']",['BACON']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MENUDO', 'ACEITE', 'LENGUA', 'PORTERHOUSE', 'TOMATE', 'YEMA']",['SALSA']
MINIRESTAURANTE EL CHINO,"['MERMELADA', 'LENGUA', 'DULCE', 'GOUDA', 'ESPALDILLA', 'POLLO', 'CHILE']","['SALSA', 'MOLIDA']"
CHE PEBETA RESTAURANTE ARGENTINO,"['FILETE', 'FLAN', 'CUBOS', 'CORTADILLO', 'MIEL']",['PANELA']
HOTEL HOLIDAY IN EXPRESS,"['CUBOS', 'BACON', 'COSTILLA', 'CAFE', 'CARNE', 'PANELA']","['DIEZMILLO', 'CORTADILLO']"
HUI XIN RESTAURANTE DE COMIDA CHINA,"['CARNITAS/PIERNA', 'MILANESA', 'ELOTE', 'CUBOS', 'CREMA', 'PANELA']",['CORTADILLO']
CALLE 7 RESTAURANTE,"['SALMON', 'MANTEQUILLA', 'ROAST', 'T-BONE', 'GALLETA']",['COFFEE']
RESTAURANTE TIO LALO,"['SHOULDER', 'TOCINO', 'CHICHARRON', 'JALAPENOS', 'PAPRIKA']",['FLAUTAS']
RESTAURANTE: I LIKE PIZZA,"['CAFE', 'SALAMI', 'DULCE', 'RIBEYE', 'ATUN', 'TOCINO']",['FLAUTAS']
LA RONDA RESTAURANTE,"['ACEITUNA', 'SALMON', 'CHAMPIÑONES']",['COFFEE']
RESTAURANTE MI KASA,"['BRISKET', 'PORTERHOUSE', 'RIBEYE', 'ACEITE', 'MOLIDA', 'MENUDO']",['CHILE']
RESTAURANTE ARIECCHINO,"['ESPALDILLA', 'YOGHURT', 'BACON', 'SAZONADOR', 'ENDULZANTE', 'CHORIZO', 'SHOULDER']",['DIEZMILLO']
RESTAURANTE FLOR DE TOKIO,"['YOGHURT', 'PURE', 'LOMO', 'PULPA', 'DIEZMILLO', 'FAJITA']",['BACON']
RESTAURANTE LAS ALITAS SUC NUEVO SUR,"['COWBOY', 'SHOULDER', 'PHILADELPHIA', 'ARRACHERA', 'MANCHEGO']",['LECHE']
RESTAURANTE IDOLOS DEL RIN,"['JALAPENOS', 'ARRACHERA', 'MILANESA', 'YEMA', 'SAZONADOR', 'MACHACA']",['LECHE']
RESTAURANTE: I LIKE PIZZA,"['COFFEE', 'YEMA', 'HUESO', 'CARNITAS/PIERNA', 'MOLLEJA', 'PAPA']",['SALMON']
RESTAURANTE Y TAQUERIA MI GENERAL,"['JAMON', 'PAVO', 'VEAL', 'SALMON', 'MILANESA', 'SURIMI']",['COFFEE']
CHE PEBETA RESTAURANTE ARGENTINO,"['SURIMI', 'PAPA', 'COFFEE', 'MANTEQUILLA', 'ROAST']",['SALMON']
RESTAURANTE JOSEPHINOS,"['PAPA', 'PANELA', 'PECHUGA']",['CORTADILLO']
CHE PEBETA RESTAURANTE ARGENTINO,"['COFFEE', 'MILANESA', 'TOMAHAWK', 'SALAMI', 'COSTILLA', 'ENDULZANTE']",['SALMON']
RESTAURANTE IDOLOS DEL RIN,"['VEAL', 'WHIP', 'LOMO', 'SURIMI', 'PURE', 'COFFEE']",['SALMON']
EL MAGO RESTAURANTE Y BANQUETES,"['PASTEL', 'PIERNA', 'PIZZA', 'YOGHURT', 'HAMBURGUESA', 'CORTADILLO']",['PANELA']
CHE PEBETA RESTAURANTE ARGENTINO,"['SALMON', 'PAVO', 'CHULETA', 'CHAMPIÑONES', 'ADEREZO', 'ALITA']",['COFFEE']
RESTAURANTE LOS RODRIGUEZ,"['PEPPERONI', 'MILANESA', 'PECHUGA', 'PAVO', 'ARRACHERA', 'PAPRIKA']",['LECHE']
CHE PEBETA RESTAURANTE ARGENTINO,"['ARRACHERA', 'VEAL', 'RIBEYE', 'YEMA', 'CACHETE']",['LECHE']
HOTEL POSADA,"['HUESO', 'GALLETA', 'DESHEBRADA', 'PASTA', 'NUGGET', 'PULPA', 'CORTADILLO']",['PANELA']
HOTEL MISION,"['FLAUTAS', 'MACHACA', 'MANTEQUILLA', 'MORTADELA', 'CATSUP', 'HAMBURGUESA']",['TOCINO']
RESTAURANTE IDOLOS DEL RIN,"['SAZONADOR', 'RIBEYE', 'MARGARINA', 'ARRACHERA']",['LECHE']
EL MAGO RESTAURANTE Y BANQUETES,"['HAMBURGUESA', 'CAFE', 'SALMON', 'PORTERHOUSE', 'MOLIDA', 'YOGHURT', 'MAYONESA']","['CHILE', 'COFFEE']"
RESTAURANTE VERDENIA,"['PIERNA', 'BACON', 'BONELESS', 'MARGARINA', 'WHIP', 'TOMAHAWK']",['DIEZMILLO']
HOTEL MISION,"['ARRACHERA', 'ELOTE', 'PIMIENTA', 'GOUDA']",['LECHE']
RESTAURANTE LAS TRES VILLAS,"['MOLLEJA', 'LECHE', 'MIEL', 'YEMA']",['ARRACHERA']
RESTAURANTE VERDENIA,"['MAYONESA', 'HUESO', 'MACHACA', 'LENGUA', 'AJO']",['SALSA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['ADOBADA', 'TOCINO', 'JUGO', 'DULCE', 'PECHUGA', 'TOMATE', 'CHAMPIÑONES']",['FLAUTAS']
RESTAURANTE LAS TRES VILLAS,"['JAMON', 'LOMO', 'PASTA', 'SALSA', 'ATUN']",['LENGUA']
RESTAURANTE BON DIA,"['BACON', 'FILETE', 'WHIP', 'COFFEE']","['DIEZMILLO', 'SALMON']"
LA RONDA RESTAURANTE,"['PULPA', 'LENGUA', 'GOUDA', 'COSTILLA', 'FLAUTAS', 'MORTADELA']","['SALSA', 'TOCINO']"
MINIRESTAURANTE EL CHINO,"['CHILE', 'ELOTE']",['MOLIDA']
RESTAURANTE Y TAQUERIA MI GENERAL,"['HAMBURGUESA', 'LENGUA', 'VEAL']",['SALSA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['CACHETE', 'ACEITUNA', 'JAMON', 'ELOTE', 'LECHE']",['ARRACHERA']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MANCHEGO', 'SALSA', 'T-BONE', 'PAVO', 'MAYONESA', 'HUESO']",['LENGUA']
LA TORRADA RESTAURANTE,"['BISTEC', 'FLAN', 'DIEZMILLO', 'CARNITAS/PIERNA', 'GALLETA', 'CACHETE']",['BACON']
RESTAURANTE  LA  FUNDACION,"['MACHACA', 'COFFEE', 'PASTA']",['SALMON']
RESTAURANTE FLOR DE TOKIO,"['CHORIZO', 'CARNITAS/PIERNA', 'CORTADILLO', 'GOUDA', 'AJO']",['PANELA']
RESTAURANTE FLOR DE TOKIO,"['PASTA', 'TOCINO']",['FLAUTAS']
RESTAURANTE EL GITANO,"['CHICHARRON', 'PECHUGA', 'SALSA', 'SALMON', 'MAYONESA', 'DIEZMILLO']","['BACON', 'COFFEE', 'LENGUA']"
HOTEL POSADA,"['BACON', 'DESHEBRADA', 'MERMELADA', 'LECHE']","['DIEZMILLO', 'ARRACHERA']"
RESTAURANTE LOS RODRIGUEZ,"['CORTADILLO', 'HUESO', 'T-BONE', 'FILETE']",['PANELA']
HOTEL OASIS,"['SALMON', 'MAYONESA', 'PURE', 'DIEZMILLO', 'GALLETA']","['BACON', 'COFFEE']"
RESTAURANTE FINOS,"['PAPA', 'LOMO', 'ESPALDILLA', 'MACHACA', 'FLAUTAS']",['TOCINO']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['COCOA', 'CARNE', 'PEPPERONI', 'MILANESA', 'ARRACHERA']",['LECHE']
RESTAURANTE  LA  FUNDACION,"['LOMO', 'PURE', 'SALMON', 'COWBOY', 'BRISKET', 'PIMIENTA', 'SALCHICHA']",['COFFEE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['LENGUA', 'ADOBADA', 'ACEITUNA', 'DIEZMILLO', 'MEDALLON', 'MACHACA']","['SALSA', 'BACON']"
RESTAURANTE FAMILIAR LAS PALMAS,"['PEPPERONI', 'BACON', 'CHICHARRON', 'COCOA', 'PULPO']",['DIEZMILLO']
RESTAURANTE FINOS,"['MEDALLON', 'FLAUTAS', 'MACHACA', 'ROAST', 'PURE', 'MANCHEGO']",['TOCINO']
RESTAURANTE Y TAQUERIA MI GENERAL,"['AJO', 'CREMA', 'ADEREZO', 'COFFEE', 'ROAST', 'VEAL']",['SALMON']
RESTAURANTE  LA  FUNDACION,"['CARNITAS/PIERNA', 'TOMAHAWK', 'CREMA', 'CUBOS', 'DIEZMILLO', 'YEMA', 'COCOA']",['BACON']
RESTAURANTE VERDENIA,"['FAJITA', 'FLAN', 'ARRACHERA', 'PORTERHOUSE']",['LECHE']
RESTAURANTE BON DIA,"['MOLIDA', 'COSTILLA', 'MILANESA', 'NUGGET', 'MARGARINA', 'ELOTE', 'BISTEC']",['CHILE']
RESTAURANTE Y TAQUERIA MI GENERAL,"['GOUDA', 'SURIMI', 'DIEZMILLO', 'PIERNA', 'MENUDO', 'SALMON', 'PECHUGA']","['BACON', 'COFFEE']"
RESTAURANTE FLOR DE TOKIO,"['ADEREZO', 'CREMA', 'FLAN', 'FLAUTAS', 'CORTADILLO', 'PASTEL']","['TOCINO', 'PANELA']"
HOTEL MISION,"['HUESO', 'MANTEQUILLA', 'MAYONESA', 'ROAST', 'CORTADILLO']",['PANELA']
NORTEÑO RESTAURANTE,"['JUGO', 'JALAPENOS', 'PHILADELPHIA', 'CHAMPIÑONES', 'CHILE', 'SALAMI']",['MOLIDA']
RESTAURANTE FLOR DE TOKIO,"['BISTEC', 'CHILE', 'PIZZA', 'SALAMI', 'COCOA', 'YOGHURT']",['MOLIDA']
HOTEL OASIS,"['MOSTAZA', 'AJO', 'PIMIENTA', 'DESHEBRADA', 'MANTEQUILLA', 'COFFEE', 'TOCINO']","['SALMON', 'FLAUTAS']"
RESTAURANTE LAS ALITAS SUC NUEVO SUR,"['MERMELADA', 'MIEL', 'GALLETA', 'MANTEQUILLA', 'POLLO', 'BACON', 'ACEITUNA']",['DIEZMILLO']
HOTEL REGIS,"['ELOTE', 'DIEZMILLO', 'COCOA', 'SALMON']","['BACON', 'COFFEE']"
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MANCHEGO', 'ADEREZO', 'ARRACHERA', 'MOLIDA', 'MORTADELA']","['CHILE', 'LECHE']"
RESTAURANTE BERNAL,"['CATSUP', 'MOLIDA', 'PAVO']",['CHILE']
RESTAURANTE BOATO,"['ALITA', 'PEPPERONI', 'JAMON', 'PIZZA', 'BACON']",['DIEZMILLO']
CHE PEBETA RESTAURANTE ARGENTINO,"['PANELA', 'CHEESECAKE', 'JAMON', 'QUESO', 'MERMELADA', 'ACEITE', 'RIBEYE']",['CORTADILLO']
HOTEL EL REGIO,"['COFFEE', 'CHEESECAKE', 'VEAL', 'T-BONE', 'JAMON', 'JALAPENOS']",['SALMON']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['AJO', 'ELOTE', 'WHIP', 'FLAUTAS', 'LOMO', 'MERMELADA']",['TOCINO']
EL MAGO RESTAURANTE Y BANQUETES,"['SALSA', 'LOMO', 'CHILE', 'RIBEYE', 'MANTEQUILLA', 'CACHETE', 'PIERNA']","['MOLIDA', 'LENGUA']"
RESTAURANTE TIO LALO,"['CREMA', 'CHAMPIÑONES', 'PULPA', 'FLAUTAS', 'ENDULZANTE']",['TOCINO']
RESTAURANTE DE MARISCOS LOS REYES,"['ADOBADA', 'POLLO', 'LENGUA', 'PIERNA', 'ROAST']",['SALSA']
RESTAURANTE TIO LALO,"['COWBOY', 'CORTADILLO', 'DESHEBRADA', 'TOMATE', 'FILETE', 'PIZZA']",['PANELA']
HOTEL REGIS,"['ADEREZO', 'CREMA', 'SALMON', 'CAFE']",['COFFEE']
RESTAURANTE IDOLOS DEL RIN,"['BONELESS', 'YOGHURT', 'JALAPENOS', 'MOLIDA', 'COWBOY']",['CHILE']
HOTEL REGIS,"['LECHE', 'CUBOS', 'PECHUGA', 'CHAMPIÑONES', 'YOGHURT']",['ARRACHERA']
RESTAURANTE FLOR DE TOKIO,"['CARNITAS/PIERNA', 'ALITA', 'LECHE', 'PECHUGA', 'CAMARON']",['ARRACHERA']
RESTAURANTE FLOR DE TOKIO,"['CHICHARRON', 'DULCE', 'WHIP', 'CHILE', 'ADEREZO', 'PASTEL']",['MOLIDA']
CHE PEBETA RESTAURANTE ARGENTINO,"['MACHACA', 'CHULETA', 'TOMATE', 'ADEREZO', 'PANELA', 'PASTA']",['CORTADILLO']
HOTEL HOLIDAY IN EXPRESS,"['MENUDO', 'GOUDA', 'HAMBURGUESA', 'BACON', 'SALAMI']",['DIEZMILLO']
RESTAURANTE JOSEPHINOS,"['LECHE', 'CHILE', 'MAYONESA', 'AJO', 'FLAUTAS', 'MILANESA']","['TOCINO', 'MOLIDA', 'ARRACHERA']"
LA TORRADA RESTAURANTE,"['CHORIZO', 'BONELESS', 'RIBEYE', 'SALCHICHA', 'ARRACHERA']",['LECHE']
HOTEL POSADA,"['CHEESECAKE', 'SALAMI', 'YEMA', 'SALMON', 'MACHACA', 'CHILE', 'MERMELADA']","['MOLIDA', 'COFFEE']"
RESTAURANTE DE MARISCOS EL ROJO,"['CAMARON', 'LECHE', 'CHICHARRON', 'MARGARINA']",['ARRACHERA']
RESTAURANTE: I LIKE PIZZA,"['PULPO', 'WHIP', 'ADOBADA', 'CORTADILLO', 'MERMELADA']",['PANELA']
CHE PEBETA RESTAURANTE ARGENTINO,"['PECHUGA', 'ARRACHERA', 'PANELA', 'COCOA', 'GALLETA', 'ADOBADA', 'QUESO']","['CORTADILLO', 'LECHE']"
RESTAURANTE EL BUEN PALADAR,"['AJO', 'FLAN', 'DULCE', 'SALMON', 'BRISKET', 'ENDULZANTE']",['COFFEE']
HOTEL PALACIO,"['BONELESS', 'AJO', 'YEMA', 'TOCINO']",['FLAUTAS']
RESTAURANTE BUCHAKAS,"['PANELA', 'PULPO', 'PEPPERONI']",['CORTADILLO']
EL MAGO RESTAURANTE Y BANQUETES,"['CHULETA', 'JAMON', 'BACON', 'LENGUA', 'SURIMI', 'COSTILLA', 'VEAL']","['SALSA', 'DIEZMILLO']"
LA RONDA RESTAURANTE,"['GALLETA', 'ACEITE', 'ESPALDILLA', 'DIEZMILLO']",['BACON']
RESTAURANTE BON DIA,"['CACHETE', 'CAMARON', 'SALSA', 'YOGHURT']",['LENGUA']
